1,0.886628985,0.230921,0.989715993,0.975807011,0.402491987,0.468508989,0.086933099,0.750693023,0.555769026,0.342709988,0,0.435665011,0.46470201,0.716784,0
1,0.886628985,0.220245004,0.812053978,0.466690004,0.483734995,0.456818014,0.239901006,0.396468014,0.571855009,0.342709988,0.384187013,0.57821399,0.660238028,0.735635996,0
1,0.48922801,0.116646998,0.932821989,0.466690004,0.483734995,0.468508989,0.082004502,0.875346005,0.564890027,0.0474342,0.899999976,0.504859984,0.656467021,0.685359001,0
1,0.886628985,0.257414013,0.346929997,0.189737007,0.984072983,0.468508989,0.0230108,0.303144008,0.555769026,0.0474342,0.029999999,0.470591009,0.609938979,0.734301984,0
0.121343002,0,0.277579993,0.747116029,0.189737007,0.305940986,0.461834997,0.11637,0.232341006,0.567573011,0.087464303,0.029999999,0.461887002,0.368203014,0.793913007,0
0.121343002,0.886628985,0.235666007,0.997564971,0.424264014,0.305940986,0.468953997,0.257174999,0.965294003,0.556198001,0.087464303,0.247385994,0.509513021,0.522159994,0.755177975,0
0,0.886628985,0.018979801,0.530570984,0.424264014,0.305940986,0.506326973,0.258733004,0.0156107,0.574011981,0.080777504,0.835703015,0.305483013,0.568765998,0.757570982,0
0.121343002,0,0.117833003,0.346765012,0.0424264,0,0.41731599,0.591527998,0.604719996,0.624958992,0.080777504,0.835703015,0.581119001,0.691671014,0.756648004,0
0.121343002,1,0.108342998,0.725995004,0.0424264,0,0.48032701,0.094374999,0.910052001,0.558049023,0.261963993,0.979489982,0.462170988,0.688134015,0.753265023,0
0,0,0.662712991,0.674767971,0.0424264,0,0.460756004,0.410497993,0.654583991,0.557411015,0.678822994,0.979489982,0.542016983,0.665386021,0.800974011,0
1,0.886628985,0.194939002,0.334886998,0.755380988,0.189737007,0.415136993,0.437018007,0.73210597,0.540763021,0.678822994,0.979489982,0.558439016,0.652234972,0.753244996,0
1,1,0.220245004,0.227943003,0.254557997,0.917823017,0.449274004,0.158572003,0.053836402,0.573696971,0.678822994,0.882326007,0.462790012,0.587931991,0.749989986,0
0.121343002,1,0.183866993,0.962091982,0.254557997,0.917823017,0.455040991,0.284363002,0.332560986,0.570140004,0.370472997,0.295466006,0.581516981,0.71321398,0.789893985,0
1,0.48922801,0.283511013,0.981851995,0.254557997,0.456945986,0.46094501,0.0725495,0.149945006,0.566715002,0.463059992,0.778845012,0.499457985,0.52094698,0.675134003,0
1,0.886628985,0.193752006,0.607999027,0.362491012,0.722495973,0.466145009,0.071825102,0.127424002,0.562609971,0.463059992,0.560446024,0.532844007,0.649111986,0.685081005,0
