18.86,26.34,15,35,8.23,0,1.11
18.84,14.36,25,20,30.5,0,1.88
18.84,57.46,20,20,30.5,0,2.05
28.84,29.42,35,35,100,0,1.78
28.84,39.23,38,35,100,0,1.99
14.8,0,17,20,50,0,1.13
14,11.97,26,30,88,0,1.02
25,120,45,53,120,0,1.3
26,150,45,50,200,0,1.2
18.5,25,0,30,6,0,1.09
18.5,12,0,30,6,0,0.78
22.4,10,35,30,10,0,2
21.4,10,30.34,30,20,0,1.7
20.41,24.9,13,22,10.67,0.35,1.4
19.63,11.97,20,22,12.19,0.41,1.35
21.82,8.62,32,28,12.8,0.49,1.03
20.41,33.52,11,16,45.72,0.2,1.28
18.84,0,20,20,61,0.5,1.03
18.84,15.32,30,25,10.67,0.38,1.63
21.43,0,20,20,61,0.5,1.03
19.06,11.71,28,35,21,0.11,1.09
18.84,14.36,25,20,30.5,0.45,1.11
24.51,6.94,30,31,76.8,0.38,1.01
14,11.97,26,30,88,0.45,0.63
18,24,30.15,45,20,0.12,1.12
23,0,20,20,100,0.3,1.2
22.4,100,45,45,15,0.25,1.8
22.4,10,36,45,10,0.4,0.9
20,20,36,45,50,0.5,0.83
20,0,36,45,50,0.25,0.79
20,0,36,45,50,0.5,0.67
22,0,40,33,8,0.35,1.45
24,0,40,33,8,0.3,1.58
20,0,24.5,20,28,0.35,1.37
27,40,35,43,420,0.25,1.15
27,50,40,42,407,0.25,1.44
27,35,35,42,359,0.25,1.27
27,37.5,35,37.8,320,0.25,1.24
27,32,33,42.6,301,0.25,1.3
27,32,33,42.4,289,0.25,1.3
27.3,14,31,41,110,0.25,1.25
27.3,31.5,29.7,41,135,0.25,1.25
27.3,16.8,28,50,90.5,0.25,1.25
27.3,26,31,50,92,0.25,1.25
27.3,10,39,41,511,0.25,1.43
27.3,10,39,40,470,0.25,1.42
25,46,35,47,443,0.25,1.28
25,46,35,44,435,0.25,1.37
25,46,35,46,432,0,1.23
26,150,45,30,200,0,1.2
18.5,25,0,30,6,0,1.09
18.5,12,0,30,6,0,0.78
22.4,10,35,30,10,0,2
21.4,10,30.34,30,20,0,1.7
22,20,36,45,50,0,1.02
22,0,36,45,50,0,0.89
12,0,30,35,4,0,1.46
12,0,30,45,8,0,0.8
12,0,30,35,4,0,1.44
31.3,68,37,49,200,0.25,1.2
20,20,36,45,50,0.25,0.96
27,40,35,47.1,292,0.25,1.15
25,46,35,50,284,0.25,1.34
31.3,68,37,46,366,0.25,1.2
25,55,36,44.5,299,0.25,1.55
27.3,10,39,40,480,0.25,1.45
25,46,35,46,393,0.25,1.31
25,48,40,49,330,0.25,1.49
31.3,18.6,37,47,305,0.25,1.2
25,55,36,45.5,299,0.25,1.52
31.3,68,37,47,213,0.25,1.2
22,20,36,45,50,0,1.02
22,0,36,45,50,0,0.89
12,0,30,35,4,0,1.46
12,0,30,45,8,0,0.8
23.47,0,32,37,214,0,1.08
12,0,30,45,8,0,0.8
25.14,23.94,20,65,30.5,0.25,1.36
16.5,11.49,0,30.3,3.66,0,1
19.6,47.9,20,29.1,30.5,0,1.51
17.5,60,25,30.5,60,0.25,0.99
17.5,60,25,51.3,50,0.25,0.96
18,90,29,51.3,50,0.5,1.21
19,100,20,51.3,42,0,1.29
19,100,20,35,105,0,1.16
18.3,75,27,51.3,45,0,1.42
18.3,75,27,51.3,45,0,1.24
18.7,93,26,55,50,0,1.36
18.7,93,26,55,50,0,1.19
22.4,10,35,45,10,0.4,0.9
20,20,36,45,50,0.5,0.83
20,0,36,45,50,0.25,0.79
20,0,36,45,50,0.5,0.67
22,0,40,33,8,0.35,1.45
24,0,40,33,8,0.3,1.58
20,0,24.5,20,8,0.35,1.37
18,5,30,20,8,0.3,2.05
27,40,35,43,420,0.25,1.15
27,50,40,42,407,0.25,1.44
27,35,35,42,359,0.25,1.27
27,37.5,35,37.8,320,0.25,1.24
27,32,33,42.6,301,0.25,1.16
27,32,33,42.4,289,0.25,1.3
27.3,14,31,41,110,0.25,1.249
27.3,31.5,29.7,41,135,0.25,1.245
27.3,16.8,28,50,90.5,0.25,1.252
27.3,26,31,50,92,0.25,1.246
